# Time (s)            n_hot (m**-3)       n_e (m**-3)         T_e (ev)            E_par (V/m)         v_c (v_th0)         tau               
  8.450000000000E-04  1.322121357839E+14  1.495708040011E+20  3.500066693455E+01  8.173256712469E-01  1.965829820278E+00  1.199917105405E+01
  8.500000000000E-04  1.278016593596E+14  1.495848747196E+20  3.418104758189E+01  8.191433111878E-01  1.961684232974E+00  1.208549602566E+01
  8.550000000000E-04  1.235228340823E+14  1.495984841451E+20  3.338829854772E+01  8.209428653090E-01  1.957586493970E+00  1.217182099727E+01
  8.600000000000E-04  1.193725505732E+14  1.496116474005E+20  3.262153891824E+01  8.227245135676E-01  1.953536438614E+00  1.225814596888E+01
  8.650000000000E-04  1.153477269434E+14  1.496243791131E+20  3.187991665940E+01  8.244884341298E-01  1.949533904487E+00  1.234447094049E+01
  8.700000000000E-04  1.114453117818E+14  1.496366934306E+20  3.116260767018E+01  8.262348033892E-01  1.945578730804E+00  1.243079591211E+01
  8.750000000000E-04  1.076622868618E+14  1.496486040366E+20  3.046881486678E+01  8.279637959841E-01  1.941670757795E+00  1.251712088372E+01
  8.800000000000E-04  1.039956695840E+14  1.496601241666E+20  2.979776729693E+01  8.296755848152E-01  1.937809826113E+00  1.260344585533E+01
  8.850000000000E-04  1.004425151706E+14  1.496712666217E+20  2.914871928319E+01  8.313703410628E-01  1.933995776228E+00  1.268977082694E+01
  8.900000000000E-04  9.699991862491E+13  1.496820437838E+20  2.852094959431E+01  8.330482342041E-01  1.930228447845E+00  1.277609579855E+01
  8.950000000000E-04  9.366501647313E+13  1.496924676284E+20  2.791376064383E+01  8.347094320296E-01  1.926507679317E+00  1.286242077017E+01
  9.000000000000E-04  9.043498829894E+13  1.497025497388E+20  2.732647771490E+01  8.363541006606E-01  1.922833307080E+00  1.294874574178E+01
  9.050000000000E-04  8.730705808647E+13  1.497123013183E+20  2.675844821049E+01  8.379824045653E-01  1.919205165095E+00  1.303507071339E+01
  9.100000000000E-04  8.427849533034E+13  1.497217332029E+20  2.620904092828E+01  8.395945065755E-01  1.915623084302E+00  1.312139568500E+01
  9.150000000000E-04  8.134661624463E+13  1.497308558737E+20  2.567764535921E+01  8.411905679026E-01  1.912086892096E+00  1.320772065661E+01
  9.200000000000E-04  7.850878427374E+13  1.497396794677E+20  2.516367100907E+01  8.427707481541E-01  1.908596411813E+00  1.329404562823E+01
  9.250000000000E-04  7.576241100686E+13  1.497482137898E+20  2.466654674239E+01  8.443352053495E-01  1.905151462242E+00  1.338037059984E+01
  9.300000000000E-04  7.310495667817E+13  1.497564683236E+20  2.418572014771E+01  8.458840959357E-01  1.901751857150E+00  1.346669557145E+01
  9.350000000000E-04  7.053393059798E+13  1.497644522417E+20  2.372065692379E+01  8.474175748030E-01  1.898397404834E+00  1.355302054306E+01
  9.400000000000E-04  6.804689146731E+13  1.497721744157E+20  2.327084028588E+01  8.489357953007E-01  1.895087907696E+00  1.363934551467E+01
  9.450000000000E-04  6.564144758484E+13  1.497796434268E+20  2.283577039143E+01  8.504389092520E-01  1.891823161838E+00  1.372567048628E+01
  9.500000000000E-04  6.331525695452E+13  1.497868675745E+20  2.241496378468E+01  8.519270669696E-01  1.888602956690E+00  1.381199545790E+01
  9.550000000000E-04  6.106602730146E+13  1.497938548865E+20  2.200795285945E+01  8.534004172705E-01  1.885427074658E+00  1.389832042951E+01
